Req Set,ID,URL,Requirement,Conformance,Actor,Sub-Requirement(s),Conditionality,SMART App Launch STU2.2 Client Short ID(s),SMART App Launch STU2.2 Client Full ID(s),SMART App Launch STU2.2 Short ID(s),SMART App Launch STU2.2 Full ID(s)
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,1,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,"Apps SHALL ensure that when protocol steps include transmission of sensitive information (authentication secrets, authorization codes, tokens), transmission is ONLY to authenticated servers, over TLS-secured channels.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,2,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,Apps SHALL generate an unpredictable `state` parameter for each user session,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,3,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,Apps SHALL... include `state` with all authorization requests,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,4,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,App SHALL ... validate the `state` value for any request sent to its redirect URL.,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,5,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,An app SHALL NOT execute untrusted user-supplied inputs as code.,SHALL NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,6,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,An app SHALL NOT forward values passed back to its redirect URL to any other arbitrary or user-provided URL (a practice known as an “open redirector”).,SHALL NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,7,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,An app SHALL NOT store bearer tokens in cookies that are transmitted as clear text.,SHALL NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,8,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,Apps SHOULD persist tokens and other sensitive data in app-specific storage locations only,SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,9,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#app-protection,Apps... SHOULD NOT persist [tokens and other sensitive data] … in system-wide-discoverable locations.,SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,10,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#support-for-public-and-confidential-apps," any “secret” key, code, or string that is statically embedded in the app can potentially be extracted by an end-user or attacker. Hence security for these apps cannot depend on secrets embedded at install-time.",SHOULD NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,11,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#determining-the-appropriate-app-type,"[U]se a `confidential app`[if your app is able to protect a secret]

Example: App runs on a trusted server with only server-side access to the secret
Example: App is a native app that uses additional technology (such as dynamic client registration and universal redirect_uris) to protect the secret",SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,12,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#determining-the-appropriate-app-type,"[U]se a `public app`[if your app is not able to protect a secret]

Example: App is an HTML5 or JS in-browser app (including single-page applications) that would expose the secret in user space
Example: App is a native app that can only distribute a secret statically",SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,13,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-pkce-support,All SMART apps SHALL support Proof Key for Code Exchange [(PKCE)](https://tools.ietf.org/html/rfc7636),SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,14,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-pkce-support,SMART servers [supporting the [PKCE](https://tools.ietf.org/html/rfc7636)] SHALL support the `S256` `code_challenge_method` ,SHALL,Server ,,,NA,NA,,
